i -> 1  1 100
i -> 126  0 0
i -> 127  0 0
i -> 128  2 182
i -> 129  5 152
i -> 130  1 123
i -> 131  0 0
i -> 132  4 46
i -> 133  2 123
i -> 134  0 0
i -> 135  0 0
i -> 136  6 10
i -> 137  1 56
i -> 138  3 123
i -> 139  0 0
i -> 140  2 56
i -> 141  5 46
i -> 142  0 0
i -> 143  0 0
i -> 144  10 138
i -> 145  1 12
i -> 146  5 11
i -> 147  0 0
i -> 148  2 12
i -> 149  5 182
i -> 150  0 0
i -> 151  0 0
i -> 152  4 56
i -> 153  3 12
i -> 154  5 123
i -> 155  0 0
i -> 156  10 84
i -> 157  1 34
i -> 158  0 0
i -> 159  0 0
i -> 160  2 34
i -> 161  5 56
i -> 162  1 119
i -> 163  0 0
i -> 164  8 10
i -> 165  1 142
i -> 166  0 0
i -> 167  0 0
i -> 168  2 142
i -> 169  5 12
i -> 170  1 13
i -> 171  0 0
i -> 172  4 34
i -> 173  2 13
i -> 174  0 0
i -> 175  0 0
i -> 176  10 226
i -> 177  1 224
i -> 178  3 13
i -> 179  0 0
i -> 180  2 224
i -> 181  5 34
i -> 182  0 0
i -> 183  0 0
i -> 184  10 78
i -> 185  1 72
i -> 186  5 119
i -> 187  0 0
i -> 188  2 72
i -> 189  5 142
i -> 190  0 0
i -> 191  0 0
i -> 192  4 224
i -> 193  3 72
i -> 194  5 13
i -> 195  0 0
i -> 196  10 64
i -> 197  1 14
i -> 198  0 0
i -> 199  0 0
i -> 200  2 14
i -> 201  5 224
i -> 202  1 101
i -> 203  0 0
i -> 204  10 152
i -> 205  1 198
i -> 206  0 0
i -> 207  0 0
i -> 208  2 198
i -> 209  5 72
i -> 210  1 47
i -> 211  0 0
i -> 212  4 14
i -> 213  2 47
i -> 214  0 0
i -> 215  0 0
i -> 216  10 46
i -> 217  1 96
i -> 218  3 47
i -> 219  0 0
i -> 220  2 96
i -> 221  5 14
i -> 222  0 0
i -> 223  0 0
i -> 224  10 182
i -> 225  1 168
i -> 226  1 15
i -> 227  0 0
i -> 228  2 168
i -> 229  2 15
i -> 230  0 0
i -> 231  0 0
i -> 232  4 96
i -> 233  3 168
i -> 234  3 15
i -> 235  0 0
i -> 236  10 56
i -> 237  1 106
i -> 238  0 0
i -> 239  0 0
i -> 240  2 106
i -> 241  4 15
i -> 242  1 79
i -> 243  0 0
i -> 244  10 12
i -> 245  1 162
i -> 246  0 0
i -> 247  0 0
i -> 248  2 162
i -> 249  5 168
i -> 250  1 57
i -> 251  0 0
i -> 252  4 106
i -> 253  2 57
i -> 254  0 0
i -> 255  0 0
i -> 256  10 34
i -> 257  1 16
i -> 258  3 57
i -> 259  0 0
i -> 260  2 16
i -> 261  5 106
i -> 262  0 0
i -> 263  0 0
i -> 264  10 142
i -> 265  1 208
i -> 266  5 79
i -> 267  0 0
i -> 268  2 208
i -> 269  5 162
i -> 270  0 0
i -> 271  0 0
i -> 272  4 16
i -> 273  3 208
i -> 274  5 57
i -> 275  0 0
i -> 276  10 224
i -> 277  1 174
i -> 278  0 0
i -> 279  0 0
i -> 280  2 174
i -> 281  5 16
i -> 282  1 91
i -> 283  0 0
i -> 284  10 72
i -> 285  1 222
i -> 286  0 0
i -> 287  0 0
i -> 288  2 222
i -> 289  5 208
i -> 290  1 17
i -> 291  0 0
i -> 292  4 174
i -> 293  2 17
i -> 294  0 0
i -> 295  0 0
i -> 296  10 14
i -> 297  1 36
i -> 298  3 17
i -> 299  0 0
i -> 300  2 36
i -> 301  5 174
i -> 302  0 0
i -> 303  0 0
i -> 304  10 198
i -> 305  1 48
i -> 306  5 91
i -> 307  0 0
i -> 308  2 48
i -> 309  5 222
i -> 310  0 0
i -> 311  0 0
i -> 312  4 36
i -> 313  3 48
i -> 314  5 17
i -> 315  0 0
i -> 316  10 96
i -> 317  1 146
i -> 318  0 0
i -> 319  0 0
i -> 320  2 146
i -> 321  5 36
i -> 322  1 111
i -> 323  0 0
i -> 324  10 168
i -> 325  1 18
i -> 326  0 0
i -> 327  0 0
i -> 328  2 18
i -> 329  5 48
i -> 330  1 73
i -> 331  0 0
i -> 332  4 146
i -> 333  2 73
i -> 334  0 0
i -> 335  0 0
i -> 336  10 106
i -> 337  1 156
i -> 338  3 73
i -> 339  0 0
i -> 340  2 156
i -> 341  5 146
i -> 342  0 0
i -> 343  0 0
i -> 344  10 162
i -> 345  1 188
i -> 346  5 111
i -> 347  0 0
i -> 348  2 188
i -> 349  5 18
i -> 350  0 0
i -> 351  0 0
i -> 352  4 156
i -> 353  3 188
i -> 354  5 73
i -> 355  0 0
i -> 356  10 16
i -> 357  1 66
i -> 358  0 0
i -> 359  0 0
i -> 360  2 66
i -> 361  5 156
i -> 362  1 19
i -> 363  0 0
i -> 364  10 208
i -> 365  1 58
i -> 366  0 0
i -> 367  0 0
i -> 368  2 58
i -> 369  5 188
i -> 370  1 37
i -> 371  0 0
i -> 372  4 66
i -> 373  2 37
i -> 374  0 0
i -> 375  0 0
i -> 376  10 174
i -> 377  1 124
i -> 378  3 37
i -> 379  0 0
i -> 380  2 124
i -> 381  5 66
i -> 382  0 0
i -> 383  0 0
i -> 384  10 222
i -> 385  1 128
i -> 386  5 19
i -> 387  0 0
i -> 388  2 128
i -> 389  5 58
i -> 390  0 0
i -> 391  0 0
i -> 392  4 124
i -> 393  3 128
i -> 394  5 37
i -> 395  0 0
i -> 396  10 36
i -> 397  1 86
i -> 398  0 0
i -> 399  0 0
i -> 400  2 86
i -> 401  1 20
i -> 402  1 49
i -> 403  0 0
i -> 404  2 20
i -> 405  1 102
i -> 406  0 0
i -> 407  0 0
i -> 408  2 102
i -> 409  3 20
i -> 410  1 97
i -> 411  0 0
i -> 412  4 86
i -> 413  2 97
i -> 414  0 0
i -> 415  0 0
i -> 416  4 20
i -> 417  1 196
i -> 418  3 97
i -> 419  0 0
i -> 420  2 196
i -> 421  5 86
i -> 422  0 0
i -> 423  0 0
i -> 424  10 18
i -> 425  1 132
i -> 426  5 49
i -> 427  0 0
i -> 428  2 132
i -> 429  5 102
i -> 430  0 0
i -> 431  0 0
i -> 432  4 196
i -> 433  3 132
i -> 434  5 97
i -> 435  0 0
i -> 436  6 20
i -> 437  1 206
i -> 438  0 0
i -> 439  0 0
i -> 440  2 206
i -> 441  5 196
i -> 442  1 21
i -> 443  0 0
i -> 444  10 188
i -> 445  1 38
i -> 446  0 0
i -> 447  0 0
i -> 448  2 38
i -> 449  5 132
i -> 450  1 107
i -> 451  0 0
i -> 452  4 206
i -> 453  2 107
i -> 454  0 0
i -> 455  0 0
i -> 456  10 66
i -> 457  1 116
i -> 458  3 107
i -> 459  0 0
i -> 460  2 116
i -> 461  5 206
i -> 462  0 0
i -> 463  0 0
i -> 464  8 20
i -> 465  1 92
i -> 466  5 21
i -> 467  0 0
i -> 468  2 92
i -> 469  5 38
i -> 470  0 0
i -> 471  0 0
i -> 472  4 116
i -> 473  3 92
i -> 474  5 107
i -> 475  0 0
i -> 476  10 124
i -> 477  1 74
i -> 478  0 0
i -> 479  0 0
i -> 480  2 74
i -> 481  5 116
i -> 482  1 59
i -> 483  0 0
i -> 484  10 128
i -> 485  1 22
i -> 486  0 0
i -> 487  0 0
i -> 488  2 22
i -> 489  5 92
i -> 490  1 67
i -> 491  0 0
i -> 492  4 74
i -> 493  2 67
i -> 494  0 0
i -> 495  0 0
i -> 496  10 86
i -> 497  1 136
i -> 498  3 67
i -> 499  0 0
i -> 500  2 136
i -> 501  1 50
i -> 502  0 0
i -> 503  0 0
i -> 504  2 50
i -> 505  1 248
i -> 506  5 59
i -> 507  0 0
i -> 508  2 248
i -> 509  3 50
i -> 510  0 0
i -> 511  0 0
i -> 512  4 136
i -> 513  3 248
i -> 514  5 67
i -> 515  0 0
i -> 516  4 50
i -> 517  1 246
i -> 518  0 0
i -> 519  0 0
i -> 520  2 246
i -> 521  5 136
i -> 522  1 39
i -> 523  0 0
i -> 524  10 132
i -> 525  1 218
i -> 526  0 0
i -> 527  0 0
i -> 528  2 218
i -> 529  5 248
i -> 530  1 23
i -> 531  0 0
i -> 532  4 246
i -> 533  2 23
i -> 534  0 0
i -> 535  0 0
i -> 536  6 50
i -> 537  1 244
i -> 538  3 23
i -> 539  0 0
i -> 540  2 244
i -> 541  5 246
i -> 542  0 0
i -> 543  0 0
i -> 544  10 38
i -> 545  1 112
i -> 546  5 39
i -> 547  0 0
i -> 548  2 112
i -> 549  5 218
i -> 550  0 0
i -> 551  0 0
i -> 552  4 244
i -> 553  3 112
i -> 554  5 23
i -> 555  0 0
i -> 556  10 116
i -> 557  1 166
i -> 558  0 0
i -> 559  0 0
i -> 560  2 166
i -> 561  5 244
i -> 562  1 81
i -> 563  0 0
i -> 564  8 50
i -> 565  1 242
i -> 566  0 0
i -> 567  0 0
i -> 568  2 242
i -> 569  5 112
i -> 570  1 87
i -> 571  0 0
i -> 572  4 166
i -> 573  2 87
i -> 574  0 0
i -> 575  0 0
i -> 576  10 74
i -> 577  1 24
i -> 578  3 87
i -> 579  0 0
i -> 580  2 24
i -> 581  5 166
i -> 582  0 0
i -> 583  0 0
i -> 584  10 22
i -> 585  1 172
i -> 586  5 81
i -> 587  0 0
i -> 588  2 172
i -> 589  5 242
i -> 590  0 0
i -> 591  0 0
i -> 592  4 24
i -> 593  3 172
i -> 594  5 87
i -> 595  0 0
i -> 596  10 136
i -> 597  1 186
i -> 598  0 0
i -> 599  0 0
i -> 600  2 186
i -> 601  1 40
i -> 602  1 51
i -> 603  0 0
i -> 604  2 40
i -> 605  1 98
i -> 606  0 0
i -> 607  0 0
i -> 608  2 98
i -> 609  3 40
i -> 610  1 103
i -> 611  0 0
i -> 612  4 186
i -> 613  2 103
i -> 614  0 0
i -> 615  0 0
i -> 616  4 40
i -> 617  1 204
i -> 618  3 103
i -> 619  0 0
i -> 620  2 204
i -> 621  5 186
i -> 622  0 0
i -> 623  0 0
i -> 624  10 218
i -> 625  1 68
i -> 626  1 25
i -> 627  0 0
i -> 628  2 68
i -> 629  2 25
i -> 630  0 0
i -> 631  0 0
i -> 632  4 204
i -> 633  3 68
i -> 634  3 25
i -> 635  0 0
i -> 636  6 40
i -> 637  1 194
i -> 638  0 0
i -> 639  0 0
i -> 640  2 194
i -> 641  4 25
i -> 642  1 121
i -> 643  0 0
i -> 644  10 112
i -> 645  1 238
i -> 646  0 0
i -> 647  0 0
i -> 648  2 238
i -> 649  5 68
i -> 650  1 93
i -> 651  0 0
i -> 652  4 194
i -> 653  2 93
i -> 654  0 0
i -> 655  0 0
i -> 656  10 166
i -> 657  1 216
i -> 658  3 93
i -> 659  0 0
i -> 660  2 216
i -> 661  5 194
i -> 662  0 0
i -> 663  0 0
i -> 664  8 40
i -> 665  1 108
i -> 666  5 121
i -> 667  0 0
i -> 668  2 108
i -> 669  5 238
i -> 670  0 0
i -> 671  0 0
i -> 672  4 216
i -> 673  3 108
i -> 674  5 93
i -> 675  0 0
i -> 676  10 24
i -> 677  1 26
i -> 678  0 0
i -> 679  0 0
i -> 680  2 26
i -> 681  5 216
i -> 682  1 41
i -> 683  0 0
i -> 684  10 172
i -> 685  1 178
i -> 686  0 0
i -> 687  0 0
i -> 688  2 178
i -> 689  5 108
i -> 690  1 117
i -> 691  0 0
i -> 692  4 26
i -> 693  2 117
i -> 694  0 0
i -> 695  0 0
i -> 696  10 186
i -> 697  1 236
i -> 698  3 117
i -> 699  0 0
i -> 700  2 236
i -> 701  5 26
i -> 702  0 0
i -> 703  0 0
i -> 704  10 98
i -> 705  1 52
i -> 706  5 41
i -> 707  0 0
i -> 708  2 52
i -> 709  5 178
i -> 710  0 0
i -> 711  0 0
i -> 712  4 236
i -> 713  3 52
i -> 714  5 117
i -> 715  0 0
i -> 716  10 204
i -> 717  1 154
i -> 718  0 0
i -> 719  0 0
i -> 720  2 154
i -> 721  5 236
i -> 722  1 61
i -> 723  0 0
i -> 724  10 68
i -> 725  1 82
i -> 726  0 0
i -> 727  0 0
i -> 728  2 82
i -> 729  5 52
i -> 730  1 27
i -> 731  0 0
i -> 732  4 154
i -> 733  2 27
i -> 734  0 0
i -> 735  0 0
i -> 736  10 194
i -> 737  1 144
i -> 738  3 27
i -> 739  0 0
i -> 740  2 144
i -> 741  5 154
i -> 742  0 0
i -> 743  0 0
i -> 744  10 238
i -> 745  1 88
i -> 746  5 61
i -> 747  0 0
i -> 748  2 88
i -> 749  5 82
i -> 750  0 0
i -> 751  0 0
i -> 752  4 144
i -> 753  3 88
i -> 754  5 27
i -> 755  0 0
i -> 756  10 216
i -> 757  1 234
i -> 758  0 0
i -> 759  0 0
i -> 760  2 234
i -> 761  5 144
i -> 762  1 69
i -> 763  0 0
i -> 764  10 108
i -> 765  1 42
i -> 766  0 0
i -> 767  0 0
i -> 768  2 42
i -> 769  5 88
i -> 770  1 113
i -> 771  0 0
i -> 772  4 234
i -> 773  2 113
i -> 774  0 0
i -> 775  0 0
i -> 776  10 26
i -> 777  1 76
i -> 778  3 113
i -> 779  0 0
i -> 780  2 76
i -> 781  5 234
i -> 782  0 0
i -> 783  0 0
i -> 784  10 178
i -> 785  1 28
i -> 786  5 69
i -> 787  0 0
i -> 788  2 28
i -> 789  5 42
i -> 790  0 0
i -> 791  0 0
i -> 792  4 76
i -> 793  3 28
i -> 794  5 113
i -> 795  0 0
i -> 796  10 236
i -> 797  1 214
i -> 798  0 0
i -> 799  0 0
i -> 800  2 214
i -> 801  5 76
i -> 802  1 99
i -> 803  0 0
i -> 804  10 52
i -> 805  1 202
i -> 806  0 0
i -> 807  0 0
i -> 808  2 202
i -> 809  5 28
i -> 810  1 53
i -> 811  0 0
i -> 812  4 214
i -> 813  2 53
i -> 814  0 0
i -> 815  0 0
i -> 816  10 154
i -> 817  1 104
i -> 818  3 53
i -> 819  0 0
i -> 820  2 104
i -> 821  5 214
i -> 822  0 0
i -> 823  0 0
i -> 824  10 82
i -> 825  1 232
i -> 826  5 99
i -> 827  0 0
i -> 828  2 232
i -> 829  5 202
i -> 830  0 0
i -> 831  0 0
i -> 832  4 104
i -> 833  3 232
i -> 834  5 53
i -> 835  0 0
i -> 836  10 144
i -> 837  1 94
i -> 838  0 0
i -> 839  0 0
i -> 840  2 94
i -> 841  5 104
i -> 842  1 29
i -> 843  0 0
i -> 844  10 88
i -> 845  1 62
i -> 846  0 0
i -> 847  0 0
i -> 848  2 62
i -> 849  5 232
i -> 850  1 43
i -> 851  0 0
i -> 852  4 94
i -> 853  2 43
i -> 854  0 0
i -> 855  0 0
i -> 856  10 234
i -> 857  1 184
i -> 858  3 43
i -> 859  0 0
i -> 860  2 184
i -> 861  5 94
i -> 862  0 0
i -> 863  0 0
i -> 864  10 42
i -> 865  1 192
i -> 866  5 29
i -> 867  0 0
i -> 868  2 192
i -> 869  5 62
i -> 870  0 0
i -> 871  0 0
i -> 872  4 184
i -> 873  3 192
i -> 874  5 43
i -> 875  0 0
i -> 876  10 76
i -> 877  1 126
i -> 878  0 0
i -> 879  0 0
i -> 880  2 126
i -> 881  5 184
i -> 882  1 109
i -> 883  0 0
i -> 884  10 28
i -> 885  1 122
i -> 886  0 0
i -> 887  0 0
i -> 888  2 122
i -> 889  5 192
i -> 890  1 83
i -> 891  0 0
i -> 892  4 126
i -> 893  2 83
i -> 894  0 0
i -> 895  0 0
i -> 896  10 214
i -> 897  1 164
i -> 898  3 83
i -> 899  0 0
i -> 900  2 164
i -> 901  1 30
i -> 902  0 0
i -> 903  0 0
i -> 904  2 30
i -> 905  1 148
i -> 906  5 109
i -> 907  0 0
i -> 908  2 148
i -> 909  3 30
i -> 910  0 0
i -> 911  0 0
i -> 912  4 164
i -> 913  3 148
i -> 914  5 83
i -> 915  0 0
i -> 916  4 30
i -> 917  1 54
i -> 918  0 0
i -> 919  0 0
i -> 920  2 54
i -> 921  5 164
i -> 922  1 89
i -> 923  0 0
i -> 924  10 232
i -> 925  1 118
i -> 926  0 0
i -> 927  0 0
i -> 928  2 118
i -> 929  5 148
i -> 930  1 77
i -> 931  0 0
i -> 932  4 54
i -> 933  2 77
i -> 934  0 0
i -> 935  0 0
i -> 936  6 30
i -> 937  1 44
i -> 938  3 77
i -> 939  0 0
i -> 940  2 44
i -> 941  5 54
i -> 942  0 0
i -> 943  0 0
i -> 944  10 62
i -> 945  1 212
i -> 946  5 89
i -> 947  0 0
i -> 948  2 212
i -> 949  5 118
i -> 950  0 0
i -> 951  0 0
i -> 952  4 44
i -> 953  3 212
i -> 954  5 77
i -> 955  0 0
i -> 956  10 184
i -> 957  1 134
i -> 958  0 0
i -> 959  0 0
i -> 960  2 134
i -> 961  5 44
i -> 962  1 31
i -> 963  0 0
i -> 964  8 30
i -> 965  1 158
i -> 966  0 0
i -> 967  0 0
i -> 968  2 158
i -> 969  5 212
i -> 970  1 63
i -> 971  0 0
i -> 972  4 134
i -> 973  2 63
i -> 974  0 0
i -> 975  0 0
i -> 976  10 126
i -> 977  1 176
i -> 978  3 63
i -> 979  0 0
i -> 980  2 176
i -> 981  5 134
i -> 982  0 0
i -> 983  0 0
i -> 984  10 122
i -> 985  1 228
i -> 986  5 31
i -> 987  0 0
i -> 988  2 228
i -> 989  5 158
i -> 990  0 0
i -> 991  0 0
i -> 992  4 176
i -> 993  3 228
i -> 994  5 63
i -> 995  0 0
i -> 996  10 164
i -> 997  1 114
i -> 998  0 0
i -> 999  0 0
i -> 1000  0 0
